"JSDu, SD=4    activation_types    ['sin', 'cos', 'linear', 'relu', 'sigmoid']",5164.852492821947
"JSDu, SD=4    input_layer_type    dense",5138.756283901276
"JSDu, SD=4    input_layer_type    gaussian_dropout",5179.873191160658
"JSDu, SD=4    input_layer_type    sqrt_softmax",5160.7087252272395
"JSDu, SD=4    input_layer_type    gaussian_kernel",5165.083462543334
"JSDu, SD=4    input_layer_type    CNN",5137.583168452192
"JSDu, SD=4    input_layer_type    VAE",5087.20079691263
"JSDu, SD=4    encoding_dim    2",5136.301635408826
"JSDu, SD=4    encoding_dim    3",5144.726303941052
"JSDu, SD=4    encoding_dim    6",5125.764265619736
"JSDu, SD=4    hidden_layers    5",5161.088909462797
"JSDu, SD=4    hidden_layers    7",5181.657490740012
"JSDu, SD=4    hidden_layers    9",5161.597227669823
"JSDu, SD=4    hidden_layers    27",5214.0755934874605
"JSDu, SD=4    activity_regularizer    ",5146.080492450568
"JSDu, SD=4    activity_regularizer    L2, 0.01",5158.885141539102
"JSDu, SD=4    activity_regularizer    L1, 0.01",5178.31861463519
"JSDu, SD=4    activity_regularizer    L1, 10^-4",5153.924290556382
"JSDu, SD=4    sigma    0.005",1419.050860021026
"JSDu, SD=4    sigma    0.01",2661.8695178349326
"JSDu, SD=4    sigma    0.05",9706.230793222001
"JSDu, SD=4    sigma    0.1",11608.83126143326
"JSDu, SD=4    sigma    0.2",12599.983178488787
"JSDu, SD=4    BN_size    2",3432.175682102083
"JSDu, SD=4    BN_size    4",6913.98048150308
"JSDu, SD=4    BN_size    5",8556.681677003306
"JSDu, SD=4    BN_size    10",17151.349094880075
"JSDu, SD=4    BN_size    20",34483.23687472567
"JSDu, SD=4    BN_size    30",51578.80664823772
"JSDu, SD=4    sampling_density    15",5377.743436386405
"JSDu, SD=4    sampling_density    25",5441.965014887842
"JSDu, SD=4    sampling_density    50",5514.140183664455
"JSDu, SD=4    sampling_density    100",5541.244258728852
"JSDu, SD=4    sampling_density    150",5552.7109167970575
"JSDu, SD=4    sampling_density    300",5561.6445431577995
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, 0.01",5178.574043536002
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, 0.02",5152.424758407602
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, 0.05",5152.542223942839
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, 0.1",5149.163825693144
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, 0.2",5202.670242702295
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, (0.01 over SD) cdot 100",5149.353975678219
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, (0.02 over SD) cdot 100",5173.175288048327
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, (0.05 over SD) cdot 100",5111.786122096044
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, (0.1 over SD) cdot 100",5153.904232160671
"JSDu, SD=4    gaussian_noise_sigma    lambda SD, (0.2 over SD) cdot 100",5123.517022529688
"JSDu, SD=4    missing_entry    0.001",11.411802301512946
"JSDu, SD=4    missing_entry    0.005",57.05901150756474
"JSDu, SD=4    missing_entry    0.01",114.11802301512947
"JSDu, SD=4    missing_entry    0.05",570.5901150756474
"JSDu, SD=4    missing_entry    0.1",1141.1802301512948
"JSDu, SD=4    missing_entry    0.5",5705.901150756474
"JSDu, SD=4    missing_entry_combined    0.001",5147.538810215941
"JSDu, SD=4    missing_entry_combined    0.005",5197.103880715813
"JSDu, SD=4    missing_entry_combined    0.01",5222.9995149109545
"JSDu, SD=4    missing_entry_combined    0.05",5463.5180636427995
"JSDu, SD=4    missing_entry_combined    0.1",5866.599748120156
"JSDu, SD=4    missing_entry_combined    0.5",8311.197129260228
"JSDu, SD=4    missing_entry_no_denoising    0.001",11.411802301512948
"JSDu, SD=4    missing_entry_no_denoising    0.005",57.05901150756473
"JSDu, SD=4    missing_entry_no_denoising    0.01",114.11802301512947
"JSDu, SD=4    missing_entry_no_denoising    0.05",570.5901150756474
"JSDu, SD=4    missing_entry_no_denoising    0.1",1141.1802301512948
"JSDu, SD=4    missing_entry_no_denoising    0.5",5705.901150756475
"JSDu, SD=4    rows    100",47.5955454706535
"JSDu, SD=4    rows    1000",509.46616577105715
"JSDu, SD=4    rows    100000",51539.28158142301
"JSDu, SD=4    rows    1000000",516402.1311750199
"CCE, SD=100    training_method    supervised",5540.984931367924
"CCE, SD=100    training_method    supervised_2_percent",5542.565745842508
"CCE, SD=100    training_method    semi_sup_first",5537.86295933992
"CCE, SD=100    training_method    semi_mixed",5539.746788111515
"CCE, SD=100    labeled_data_percentage    99",5540.163813868297
"CCE, SD=100    labeled_data_percentage    50",5543.723029623767
"CCE, SD=100    labeled_data_percentage    20",5542.582133617465
"CCE, SD=100    labeled_data_percentage    10",5545.460826112571
"CCE, SD=100    labeled_data_percentage    5",5539.400172251909
"CCE, SD=100    labeled_data_percentage    1",5542.663996369183
"CCE, SD=100    labeled_data_percentage    0.5",5543.104992155098
"CCE, SD=100    labeled_data_percentage    0.25",5536.934331263578
"CCE, SD=100    labeled_data_percentage    0.125",5545.414721561451
"CCE, SD=100    labeled_data_percentage    0.05",5548.577862910273
"CCE, SD=100    labeled_data_percentage    0.01",5548.127346318464
"JSD, SD=100    training_method    supervised",5544.658305591053
"JSD, SD=100    training_method    supervised_2_percent",5541.357596552545
"JSD, SD=100    training_method    semi_sup_first",5541.284268494946
"JSD, SD=100    training_method    semi_mixed",5543.611678381969
"JSD, SD=100    activation_types    ['relu']",5544.316202146526
"JSD, SD=100    activation_types    ['relu', 'relu', 'relu', 'relu', 'relu']",5540.969401775768
"JSD, SD=100    activation_types    ['sin', 'cos', 'linear']",5542.015388374787
"JSD, SD=100    activation_types    ['sin', 'cos', 'linear', 'relu', 'sigmoid']",5545.510402665292
"JSD, SD=100    input_layer_type    dense",5537.905786143216
"JSD, SD=100    input_layer_type    gaussian_dropout",5539.243557704622
"JSD, SD=100    input_layer_type    sqrt_softmax",5546.918920338406
"JSD, SD=100    input_layer_type    gaussian_kernel",5539.612483200175
"JSD, SD=100    input_layer_type    CNN",5546.26605142698
"JSD, SD=100    input_layer_type    VAE",5545.397432744292
"JSD, SD=100    encoding_dim    2",5544.944164905899
